mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
168968,10/1/2024,So,8,Frequent,94,Very poorly drained,Very poorly drained,B/D,94,80,mutext.textcat=PI (OH),0.77,150,275,0,94
168970,10/1/2024,Wa,15,Frequent,0,Very poorly drained,Very poorly drained,B/D,100,70,mutext.textcat=PI (OH),0.462,150,466,0,100
168971,10/1/2024,We,15,None,0,Very poorly drained,Very poorly drained,B/D,94,83,mutext.textcat=PI (OH),0.734,150,230,0,94
1611198,10/1/2024,PkA,15,None,91,Very poorly drained,Very poorly drained,C/D,91,84,mutext.textcat=PI (OH),0.765,150,214,0,91
1611200,10/1/2024,SgA,31,Occasional,0,Somewhat poorly drained,Somewhat poorly drained,B/D,0,76,mutext.textcat=PI (OH),0.794,150,291,0,NULL
1611203,10/1/2024,SrA,15,Frequent,84,Very poorly drained,Very poorly drained,B/D,90,78,mutext.textcat=PI (OH),0.561,150,266,0,90
1611211,10/1/2024,BrA,23,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,5,77,mutext.textcat=PI (OH),0.707,76,130,1,5
1611214,10/1/2024,FcA,46,Occasional,0,Moderately well drained,Moderately well drained,B/D,10,78,mutext.textcat=PI (OH),0.839,150,297,0,10
1611216,10/1/2024,KnA,145,Occasional,0,Well drained,Well drained,B,5,78,mutext.textcat=PI (OH),0.821,150,290,0,5
1611218,10/1/2024,SjA,31,Occasional,8,Somewhat poorly drained,Somewhat poorly drained,B/D,8,76,mutext.textcat=PI (OH),0.738,150,252,0,8
1611219,10/1/2024,DfA,61,None,10,Somewhat poorly drained,Somewhat poorly drained,D,20,76,mutext.textcat=PI (OH),0.734,112,203,0,20
1611220,10/1/2024,FnA,NULL,None,4,Well drained,Well drained,B,4,71,mutext.textcat=PI (OH),0.683,150,166,0,4
1611222,10/1/2024,GwA,84,None,0,Moderately well drained,Moderately well drained,D,0,73,mutext.textcat=PI (OH),0.669,61,108,1,NULL
1611223,10/1/2024,GwD2,84,None,0,Moderately well drained,Moderately well drained,D,4,56,mutext.textcat=PI (OH),0.573,61,108,1,4
1611225,10/1/2024,FvA,53,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,14,64,mutext.textcat=PI (OH),0.614,150,181,0,14
1611227,10/1/2024,NaB,46,None,0,Somewhat poorly drained,Somewhat poorly drained,D,5,70,mutext.textcat=PI (OH),0.605,71,95,1,5
1611228,10/1/2024,Gn,81,Occasional,7,Well drained,Well drained,C,7,71,mutext.textcat=PI (OH),0.888,150,257,0,7
1611229,10/1/2024,SmA,61,None,0,Somewhat poorly drained,Somewhat poorly drained,C,5,74,mutext.textcat=PI (OH),0.757,150,215,0,5
1611231,10/1/2024,Wb,7,Frequent,98,Very poorly drained,Very poorly drained,B/D,100,70,mutext.textcat=PI (OH),0.142,150,292,0,100
1611232,10/1/2024,Wf,15,None,95,Very poorly drained,Very poorly drained,C/D,95,78,mutext.textcat=PI (OH),0.73,150,254,0,95
2518192,10/1/2024,Mns3A,15,None,94,Very poorly drained,Very poorly drained,C/D,94,75,mutext.textcat=PI (OH),0.633,150,245,0,94
2518193,10/1/2024,Mny3A,15,None,90,Very poorly drained,Very poorly drained,C/D,94,75,mutext.textcat=PI (OH),0.624,150,217,0,94
2518194,10/1/2024,Mnl3A,15,None,93,Very poorly drained,Very poorly drained,C/D,93,75,mutext.textcat=PI (OH),0.632,145,235,0,93
2569659,10/1/2024,Gwd5C2,46,None,0,Moderately well drained,Moderately well drained,D,0,61,mutext.textcat=PI (OH),0.561,61,97,1,NULL
2569660,10/1/2024,Gwg5C2,46,None,7,Moderately well drained,Moderately well drained,D,7,61,mutext.textcat=PI (OH),0.561,61,97,1,7
2676640,10/1/2024,Blg1B1,23,None,9,Somewhat poorly drained,Somewhat poorly drained,D,9,75,mutext.textcat=PI (OH),0.665,81,135,1,9
2676641,10/1/2024,Blg1A1,23,None,9,Somewhat poorly drained,Somewhat poorly drained,D,9,78,mutext.textcat=PI (OH),0.687,83,140,1,9
2764950,10/1/2024,Ble1A1,23,None,6,Somewhat poorly drained,Somewhat poorly drained,D,6,78,mutext.textcat=PI (OH),0.687,83,140,1,6
2765005,10/1/2024,Ble1B1,23,None,6,Somewhat poorly drained,Somewhat poorly drained,D,6,75,mutext.textcat=PI (OH),0.665,81,135,1,6
2856676,10/1/2024,Gwg1B1,46,None,6,Moderately well drained,Moderately well drained,D,6,70,mutext.textcat=PI (OH),0.665,74,125,1,6
2856677,10/1/2024,Gwe1B1,46,None,6,Moderately well drained,Moderately well drained,D,6,70,mutext.textcat=PI (OH),0.661,74,123,1,6
2856775,10/1/2024,Gwe5B2,46,None,6,Moderately well drained,Moderately well drained,D,6,65,mutext.textcat=PI (OH),0.557,66,104,1,6
2856776,10/1/2024,Gwg5B2,46,None,6,Moderately well drained,Moderately well drained,D,6,65,mutext.textcat=PI (OH),0.557,64,107,1,6
170333,10/1/2024,AdB,153,None,0,Well drained,Well drained,C,5,75,mutext.textcat=PI (OH),0.852,150,264,0,5
170334,10/1/2024,AdC2,153,None,0,Well drained,Well drained,C,5,67,mutext.textcat=PI (OH),0.762,150,232,0,5
170335,10/1/2024,AdD2,153,None,0,Well drained,Well drained,C,3,61,mutext.textcat=PI (OH),0.708,150,232,0,3
170336,10/1/2024,AdE2,153,None,0,Well drained,Well drained,C,0,50,mutext.textcat=PI (OH),0.557,150,232,0,NULL
170337,10/1/2024,BeA,22,None,8,Somewhat poorly drained,Somewhat poorly drained,C/D,8,69,mutext.textcat=PI (OH),0.771,107,166,0,8
170338,10/1/2024,BeB,22,None,6,Somewhat poorly drained,Somewhat poorly drained,C/D,6,66,mutext.textcat=PI (OH),0.745,102,158,0,6
170339,10/1/2024,Blg1A1,23,None,9,Somewhat poorly drained,Somewhat poorly drained,D,9,78,mutext.textcat=PI (OH),0.687,83,140,1,9
170340,10/1/2024,Blg1B1,23,None,9,Somewhat poorly drained,Somewhat poorly drained,D,9,75,mutext.textcat=PI (OH),0.665,81,135,1,9
170341,10/1/2024,CaB,38,None,0,Moderately well drained,Moderately well drained,C/D,0,73,mutext.textcat=PI (OH),0.586,66,122,1,NULL
170342,10/1/2024,CaC,38,None,0,Moderately well drained,Moderately well drained,C/D,0,67,mutext.textcat=PI (OH),0.574,66,122,1,NULL
170343,10/1/2024,CaC2,38,None,0,Moderately well drained,Moderately well drained,C/D,0,63,mutext.textcat=PI (OH),0.47,61,112,1,NULL
170344,10/1/2024,Cb,0,None,100,Very poorly drained,Very poorly drained,A/D,100,68,mutext.textcat=PI (OH),0.111,150,621,0,100
170348,10/1/2024,ChB,NULL,None,0,Well drained,Well drained,B,0,67,mutext.textcat=PI (OH),0.728,150,178,0,NULL
