mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
1716117,10/1/2024,L33A,45,None,5,Somewhat poorly drained,Somewhat poorly drained,C/D,15,90,mutext.textcat=CropProd (MN),0.621,74,129,1,15
1716118,10/1/2024,L33B,45,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,5,90,mutext.textcat=CropProd (MN),0.619,74,129,1,5
1716289,10/1/2024,L34A,15,None,5,Poorly drained,Poorly drained,C/D,95,81,mutext.textcat=CropProd (MN),0.625,91,159,0,95
1716290,10/1/2024,L164A,0,None,90,Very poorly drained,Very poorly drained,C/D,100,81,mutext.textcat=CropProd (MN),0.536,150,233,0,100
1716690,10/1/2024,L166C2,75,None,0,Moderately well drained,Moderately well drained,C,0,77,mutext.textcat=CropProd (MN),0.484,36,58,1,NULL
1716691,10/1/2024,L166D2,75,None,0,Moderately well drained,Moderately well drained,C,0,64,mutext.textcat=CropProd (MN),0.432,26,43,1,NULL
1716692,10/1/2024,L179A,0,None,30,Poorly drained,Very poorly drained,C/D,95,80,mutext.textcat=CropProd (MN),0.575,97,157,0,95
1716693,10/1/2024,L184A,15,None,10,Poorly drained,Poorly drained,C/D,100,78,mutext.textcat=CropProd (MN),0.597,71,119,1,100
1716694,10/1/2024,L185B,75,None,0,Moderately well drained,Moderately well drained,C,5,83,mutext.textcat=CropProd (MN),0.544,62,97,1,5
1716695,10/1/2024,L186A,15,None,5,Poorly drained,Poorly drained,C/D,75,93,mutext.textcat=CropProd (MN),0.675,130,210,0,75
1716696,10/1/2024,L187A,0,None,95,Very poorly drained,Very poorly drained,B/D,100,5,mutext.textcat=CropProd (MN),0.066,150,335,0,100
1716697,10/1/2024,L191A,0,None,95,Very poorly drained,Very poorly drained,B/D,100,5,mutext.textcat=CropProd (MN),0.069,150,437,0,100
1716700,10/1/2024,L199A,0,None,90,Very poorly drained,Very poorly drained,A/D,100,79,mutext.textcat=CropProd (MN),0.852,150,477,0,100
1716701,10/1/2024,L200A,0,None,95,Very poorly drained,Very poorly drained,B/D,100,76,mutext.textcat=CropProd (MN),0.786,150,442,0,100
1716702,10/1/2024,L204C2,75,None,0,Moderately well drained,Moderately well drained,C,0,67,mutext.textcat=CropProd (MN),0.481,52,54,1,NULL
1716703,10/1/2024,L204D2,75,None,0,Moderately well drained,Moderately well drained,C,0,57,mutext.textcat=CropProd (MN),0.442,45,49,1,NULL
1716704,10/1/2024,L205A,0,None,95,Very poorly drained,Very poorly drained,B/D,100,74,mutext.textcat=CropProd (MN),0.792,150,315,0,100
1716705,10/1/2024,L206B,75,None,0,Moderately well drained,Moderately well drained,C,5,77,mutext.textcat=CropProd (MN),0.524,76,98,1,5
1716707,10/1/2024,L210F,75,None,0,Moderately well drained,Moderately well drained,C,0,21,mutext.textcat=CropProd (MN),0.107,142,217,0,NULL
1857568,10/1/2024,211,0,None,95,Very poorly drained,Very poorly drained,C/D,100,81,mutext.textcat=CropProd (MN),0.571,150,190,0,100
